n,seed,lambda,iteration,marginal_violation
200,1200,0.01,13625,7.298927240133833e-06
200,1200,0.01,13650,7.283839609619966e-06
200,1200,0.01,13675,7.2688138157764315e-06
200,1200,0.01,13700,7.253849485608192e-06
200,1200,0.01,13725,7.2389462420436104e-06
200,1200,0.01,13750,7.2241036996652935e-06
200,1200,0.01,13775,7.209321510544091e-06
200,1200,0.01,13800,7.19459928819402e-06
200,1200,0.01,13825,7.17993668486374e-06
200,1200,0.01,13850,7.165333318039785e-06
200,1200,0.01,13875,7.150788846109132e-06
200,1200,0.01,13900,7.136302911562621e-06
200,1200,0.01,13925,7.121875157782738e-06
200,1200,0.01,13950,7.107505236344201e-06
200,1200,0.01,13975,7.0931928050519885e-06
200,1200,0.01,14000,7.078937506500155e-06
200,1200,0.01,14025,7.064739019353727e-06
200,1200,0.01,14050,7.0505969874228025e-06
200,1200,0.01,14075,7.036511076669895e-06
200,1200,0.01,14100,7.022480966253561e-06
200,1200,0.01,14125,7.008506310904848e-06
200,1200,0.01,14150,6.994586794451321e-06
200,1200,0.01,14175,6.980722085162677e-06
200,1200,0.01,14200,6.966911855726954e-06
200,1200,0.01,14225,6.953155797202043e-06
200,1200,0.01,14250,6.9394535765019555e-06
200,1200,0.01,14275,6.9258048949524115e-06
200,1200,0.01,14300,6.912209424529345e-06
200,1200,0.01,14325,6.898666863481076e-06
200,1200,0.01,14350,6.885176907741805e-06
200,1200,0.01,14375,6.871739234953073e-06
200,1200,0.01,14400,6.858353556292961e-06
200,1200,0.01,14425,6.845019566758918e-06
200,1200,0.01,14450,6.831736964777076e-06
